ticket_id,date,time,requester_id,lab_location,issue_description,category,status,resolution_hrs,assigned_tech,resolution_notes
TKT-S24-0014,02/12/2024,14:22,S0***528,Academic Hall 110,DNS resolution error,Network,Closed,3.6,M. Patel,"Replaced toner cartridge, tested print job."
TKT-S24-0015,02/26/2024,09:39,S0***521,Kent Library 102,License activation error,Software,Open,,S. Davis,"Ticket submitted, pending assignment."
TKT-S24-0016,02/07/2024,08:10,S0***165,Kent Library 101,IP conflict detected,Network,Closed,4.5,R. Chen,"Cleared browser cache, issue resolved."
TKT-S24-0017,02/09/2024,09:21,S0***467,Academic Hall 110,Application crashing,Software,Closed,0.7,S. Davis,"Cleared browser cache, issue resolved."
TKT-S24-0018,04/08/2024,09:23,S0***870,Show Me Center Lab,Slow network speed,Network,Closed,2.0,T. Amisha,"Cleared browser cache, issue resolved."
TKT-S24-0019,02/01/2024,09:13,S0***486,Academic Hall 110,No internet connection,Network,Closed,2.4,S. Davis,"Replaced toner cartridge, tested print job."
TKT-S24-0020,02/22/2024,15:56,S0***478,Carnahan Hall 214,Furniture issue,Other,Open,,S. Davis,"Ticket submitted, pending assignment."
TKT-S24-0021,01/23/2024,08:58,S0***623,Carnahan Hall 214,Mouse not working,Hardware,Closed,3.1,R. Chen,"Cleared browser cache, issue resolved."
TKT-S24-0022,03/19/2024,15:06,S0***425,Carnahan Hall 214,Room booking question,Other,Closed,2.6,M. Patel,Cable swap resolved signal issue.
TKT-S24-0023,03/25/2024,12:53,S0***329,Kent Library 101,Mouse not working,Hardware,Closed,0.8,A. Johnson,"Password reset via AD, user confirmed login."
TKT-S24-0024,02/12/2024,15:19,S0***445,Kent Library 102,Room booking question,Other,Closed,2.7,M. Patel,"Updated network config, connectivity restored."
TKT-S24-0025,03/13/2024,15:28,S0***552,Kent Library 101,Room booking question,Other,Closed,5.8,S. Davis,"Reinstalled driver, confirmed working."
TKT-S24-0026,01/29/2024,08:54,S0***095,Academic Hall 110,Driver conflict,Software,Closed,4.3,A. Johnson,"Updated network config, connectivity restored."
TKT-S24-0027,03/25/2024,08:50,S0***383,Kent Library 102,Driver conflict,Software,Open,,A. Johnson,"Ticket submitted, pending assignment."
TKT-S24-0028,04/04/2024,16:38,S0***786,Academic Hall 110,Room booking question,Other,Closed,0.9,R. Chen,"Reimaged workstation, software reinstalled."
TKT-S24-0029,03/18/2024,15:40,S0***404,Show Me Center Lab,WiFi authentication failed,Network,Closed,4.3,M. Patel,"Password reset via AD, user confirmed login."
TKT-S24-0030,01/25/2024,08:15,S0***010,Kent Library 102,Mouse not working,Hardware,Closed,2.4,S. Davis,"Cleared browser cache, issue resolved."
TKT-S24-0031,03/06/2024,11:57,S0***053,Kent Library 102,General IT inquiry,Other,Closed,0.5,M. Patel,"Reset credentials, user verified access."
TKT-S24-0032,04/08/2024,10:58,S0***642,Kent Library 101,Keyboard unresponsive,Hardware,In Progress,2.8,S. Davis,Awaiting replacement part from IT supply room.
TKT-S24-0033,03/25/2024,13:56,S0***554,Carnahan Hall 214,MFA not working,Account/Access,Closed,3.1,S. Davis,"Reset credentials, user verified access."
TKT-S24-0034,01/15/2024,10:19,S0***236,Academic Hall 110,Printer not connecting,Hardware,Closed,3.5,M. Patel,Cable swap resolved signal issue.
TKT-S24-0035,02/26/2024,10:31,S0***469,Show Me Center Lab,MFA not working,Account/Access,Open,,A. Johnson,"Ticket submitted, pending assignment."
TKT-S24-0036,02/05/2024,16:14,S0***011,Kent Library 101,Account locked out,Account/Access,Closed,3.7,S. Davis,"Cleared browser cache, issue resolved."
TKT-S24-0037,02/15/2024,15:22,S0***300,Carnahan Hall 214,Software install failed,Software,Open,,R. Chen,"Ticket submitted, pending assignment."
TKT-S24-0038,04/02/2024,14:53,S0***703,Kent Library 101,Driver conflict,Software,Closed,5.4,A. Johnson,"Reimaged workstation, software reinstalled."
TKT-S24-0039,02/01/2024,12:07,S0***320,Carnahan Hall 214,WiFi authentication failed,Network,Closed,0.6,S. Davis,Cable swap resolved signal issue.
TKT-S24-0040,03/29/2024,09:33,S0***927,Kent Library 102,Browser freezing,Software,Closed,5.3,S. Davis,"Password reset via AD, user confirmed login."
TKT-S24-0041,01/25/2024,14:47,S0***456,Academic Hall 110,Room booking question,Other,Open,,A. Johnson,"Ticket submitted, pending assignment."
TKT-S24-0042,04/09/2024,08:33,S0***258,Kent Library 101,PC won't power on,Hardware,Closed,2.0,A. Johnson,"Updated network config, connectivity restored."
TKT-S24-0043,03/21/2024,08:23,S0***162,Show Me Center Lab,Furniture issue,Other,Closed,4.2,M. Patel,"Replaced toner cartridge, tested print job."
TKT-S24-0044,02/13/2024,09:13,S0***279,Show Me Center Lab,Canvas login loop,Account/Access,Closed,0.9,M. Patel,"Reinstalled driver, confirmed working."
TKT-S24-0045,01/18/2024,09:05,S0***386,Kent Library 101,PC won't power on,Hardware,Closed,0.6,S. Davis,"Replaced toner cartridge, tested print job."
TKT-S24-0046,02/08/2024,14:34,S0***915,Show Me Center Lab,License activation error,Software,Open,,M. Patel,"Ticket submitted, pending assignment."
TKT-S24-0047,03/11/2024,16:32,S0***216,Academic Hall 110,Furniture issue,Other,Closed,5.3,A. Johnson,"Replaced toner cartridge, tested print job."
TKT-S24-0048,04/01/2024,13:08,S0***621,Kent Library 102,Password reset,Account/Access,Closed,4.3,T. Amisha,"Reimaged workstation, software reinstalled."
TKT-S24-0049,03/18/2024,08:34,S0***237,Kent Library 102,Application crashing,Software,Closed,2.5,A. Johnson,Cable swap resolved signal issue.
TKT-S24-0050,03/01/2024,11:52,S0***843,Kent Library 101,Software install failed,Software,Closed,2.8,S. Davis,"Reset credentials, user verified access."
TKT-S24-0051,03/18/2024,08:37,S0***886,Academic Hall 110,Furniture issue,Other,Closed,4.8,S. Davis,"Cleared browser cache, issue resolved."
TKT-S24-0052,01/24/2024,15:02,S0***476,Academic Hall 110,Browser freezing,Software,Closed,2.1,S. Davis,"Reinstalled driver, confirmed working."
TKT-S24-0053,02/13/2024,09:43,S0***078,Kent Library 102,PC won't power on,Hardware,Open,,R. Chen,"Ticket submitted, pending assignment."
TKT-S24-0054,02/13/2024,10:10,S0***195,Academic Hall 110,Monitor no signal,Hardware,In Progress,4.6,M. Patel,Escalated to senior tech for further diagnosis.
TKT-S24-0055,02/05/2024,15:54,S0***302,Carnahan Hall 214,Email access denied,Account/Access,In Progress,1.2,A. Johnson,"User unavailable, follow-up scheduled."
TKT-S24-0056,02/14/2024,13:55,S0***844,Show Me Center Lab,Email access denied,Account/Access,Closed,2.5,A. Johnson,"Reimaged workstation, software reinstalled."
TKT-S24-0057,03/04/2024,10:25,S0***934,Academic Hall 110,License activation error,Software,In Progress,3.5,A. Johnson,"User unavailable, follow-up scheduled."
TKT-S24-0058,02/14/2024,11:02,S0***346,Show Me Center Lab,OS update loop,Software,Closed,4.0,T. Amisha,"Reinstalled driver, confirmed working."
TKT-S24-0059,03/22/2024,08:14,S0***527,Show Me Center Lab,Driver conflict,Software,Closed,5.2,S. Davis,"Reinstalled driver, confirmed working."
TKT-S24-0060,03/04/2024,09:26,S0***761,Kent Library 101,SSO failure,Account/Access,Open,,S. Davis,"Ticket submitted, pending assignment."
TKT-S24-0061,02/05/2024,11:27,S0***803,Show Me Center Lab,Furniture issue,Other,Closed,1.5,T. Amisha,"Reinstalled driver, confirmed working."
TKT-S24-0062,02/01/2024,08:04,S0***391,Kent Library 101,Account locked out,Account/Access,Closed,1.7,T. Amisha,"Reimaged workstation, software reinstalled."
TKT-S24-0063,03/11/2024,16:37,S0***305,Kent Library 101,SSO failure,Account/Access,Closed,5.0,M. Patel,"Reset credentials, user verified access."
TKT-S24-0064,02/23/2024,09:34,S0***986,Academic Hall 110,Account locked out,Account/Access,Closed,3.1,S. Davis,"Updated network config, connectivity restored."
TKT-S24-0065,02/27/2024,14:22,S0***546,Academic Hall 110,Lab equipment request,Other,Closed,5.3,M. Patel,"Updated network config, connectivity restored."
TKT-S24-0066,02/29/2024,10:10,S0***766,Academic Hall 110,Keyboard unresponsive,Hardware,Closed,0.6,S. Davis,"Replaced toner cartridge, tested print job."
TKT-S24-0067,04/15/2024,16:19,S0***085,Show Me Center Lab,IP conflict detected,Network,Closed,5.7,R. Chen,"Replaced toner cartridge, tested print job."
TKT-S24-0068,03/14/2024,11:30,S0***618,Show Me Center Lab,Application crashing,Software,Closed,1.9,S. Davis,"Updated network config, connectivity restored."
TKT-S24-0069,02/26/2024,09:24,S0***142,Academic Hall 110,Password reset,Account/Access,Closed,1.2,R. Chen,"Reimaged workstation, software reinstalled."
TKT-S24-0070,02/28/2024,12:18,S0***506,Kent Library 101,VPN not connecting,Network,Open,,T. Amisha,"Ticket submitted, pending assignment."
TKT-S24-0071,03/28/2024,10:46,S0***223,Show Me Center Lab,PC won't power on,Hardware,Closed,1.8,S. Davis,"Reset credentials, user verified access."
TKT-S24-0072,02/05/2024,08:12,S0***044,Kent Library 101,Room booking question,Other,Closed,1.0,R. Chen,"Password reset via AD, user confirmed login."
TKT-S24-0073,03/14/2024,12:28,S0***221,Show Me Center Lab,USB device not recognized,Hardware,Open,,T. Amisha,"Ticket submitted, pending assignment."
TKT-S24-0074,03/07/2024,08:59,S0***903,Kent Library 102,Browser freezing,Software,Closed,2.9,R. Chen,"Reimaged workstation, software reinstalled."
TKT-S24-0075,01/29/2024,12:59,S0***464,Show Me Center Lab,Furniture issue,Other,Closed,2.6,T. Amisha,"Updated network config, connectivity restored."
TKT-S24-0076,02/16/2024,13:38,S0***682,Academic Hall 110,Application crashing,Software,Closed,4.4,T. Amisha,"Reimaged workstation, software reinstalled."
TKT-S24-0077,03/20/2024,12:20,S0***002,Show Me Center Lab,Email access denied,Account/Access,Closed,3.3,T. Amisha,"Password reset via AD, user confirmed login."
TKT-S24-0078,04/08/2024,15:41,S0***535,Kent Library 102,Printer not connecting,Hardware,In Progress,2.3,T. Amisha,Awaiting replacement part from IT supply room.
TKT-S24-0079,04/08/2024,08:28,S0***059,Show Me Center Lab,MFA not working,Account/Access,In Progress,2.6,M. Patel,"User unavailable, follow-up scheduled."
TKT-S24-0080,03/27/2024,14:53,S0***018,Kent Library 102,Software install failed,Software,Closed,2.4,T. Amisha,"Reinstalled driver, confirmed working."
TKT-S24-0081,01/29/2024,14:49,S0***524,Kent Library 102,General IT inquiry,Other,Closed,3.8,A. Johnson,"Updated network config, connectivity restored."
TKT-S24-0082,01/29/2024,14:34,S0***353,Kent Library 101,Printer not connecting,Hardware,Closed,3.8,S. Davis,"Updated network config, connectivity restored."
TKT-S24-0083,02/20/2024,09:14,S0***951,Show Me Center Lab,Lab equipment request,Other,Closed,3.4,T. Amisha,"Replaced toner cartridge, tested print job."
TKT-S24-0084,02/22/2024,15:57,S0***428,Academic Hall 110,VPN not connecting,Network,Closed,4.6,R. Chen,"Reset credentials, user verified access."
TKT-S24-0085,03/11/2024,08:31,S0***564,Kent Library 102,Mouse not working,Hardware,In Progress,4.5,R. Chen,"User unavailable, follow-up scheduled."
TKT-S24-0086,01/26/2024,13:59,S0***801,Carnahan Hall 214,Keyboard unresponsive,Hardware,Closed,4.2,T. Amisha,"Replaced toner cartridge, tested print job."
TKT-S24-0087,02/14/2024,14:39,S0***250,Kent Library 101,Lab equipment request,Other,Closed,2.5,R. Chen,"Reinstalled driver, confirmed working."
TKT-S24-0088,04/05/2024,14:55,S0***691,Kent Library 102,VPN not connecting,Network,Closed,5.0,R. Chen,"Replaced toner cartridge, tested print job."
TKT-S24-0089,03/04/2024,12:42,S0***567,Kent Library 101,OS update loop,Software,Closed,2.3,A. Johnson,Cable swap resolved signal issue.
TKT-S24-0090,02/27/2024,08:32,S0***522,Carnahan Hall 214,Keyboard unresponsive,Hardware,Open,,T. Amisha,"Ticket submitted, pending assignment."
TKT-S24-0091,03/21/2024,13:14,S0***259,Show Me Center Lab,Browser freezing,Software,Closed,1.6,T. Amisha,"Reinstalled driver, confirmed working."
TKT-S24-0092,02/05/2024,09:30,S0***209,Kent Library 101,Lab equipment request,Other,Closed,1.3,T. Amisha,"Reset credentials, user verified access."
TKT-S24-0093,04/03/2024,11:12,S0***149,Academic Hall 110,Keyboard unresponsive,Hardware,Closed,4.4,A. Johnson,Cable swap resolved signal issue.
TKT-S24-0094,02/23/2024,10:15,S0***346,Carnahan Hall 214,Application crashing,Software,Open,,T. Amisha,"Ticket submitted, pending assignment."
TKT-S24-0095,02/05/2024,09:45,S0***480,Kent Library 101,Keyboard unresponsive,Hardware,Closed,2.3,R. Chen,"Reset credentials, user verified access."
TKT-S24-0096,03/11/2024,15:44,S0***717,Kent Library 101,Lab equipment request,Other,Closed,5.9,T. Amisha,"Cleared browser cache, issue resolved."
TKT-S24-0097,02/14/2024,16:36,S0***167,Carnahan Hall 214,Browser freezing,Software,Closed,1.6,R. Chen,"Cleared browser cache, issue resolved."
TKT-S24-0098,01/23/2024,11:44,S0***608,Academic Hall 110,USB device not recognized,Hardware,Closed,5.2,A. Johnson,"Password reset via AD, user confirmed login."
TKT-S24-0099,03/08/2024,11:02,S0***804,Kent Library 101,SSO failure,Account/Access,Open,,A. Johnson,"Ticket submitted, pending assignment."
TKT-S24-0100,04/05/2024,08:44,S0***439,Academic Hall 110,Printer not connecting,Hardware,Closed,5.6,M. Patel,Cable swap resolved signal issue.
TKT-S24-0101,03/19/2024,11:29,S0***357,Carnahan Hall 214,Email access denied,Account/Access,Open,,T. Amisha,"Ticket submitted, pending assignment."
TKT-S24-0102,02/01/2024,14:51,S0***186,Show Me Center Lab,General IT inquiry,Other,Closed,2.3,M. Patel,"Password reset via AD, user confirmed login."
TKT-S24-0103,02/01/2024,13:35,S0***827,Kent Library 102,WiFi authentication failed,Network,Open,,S. Davis,"Ticket submitted, pending assignment."
TKT-S24-0104,04/08/2024,10:59,S0***851,Kent Library 102,Password reset,Account/Access,Closed,5.9,A. Johnson,"Reinstalled driver, confirmed working."
TKT-S24-0105,04/10/2024,15:13,S0***310,Show Me Center Lab,Lab equipment request,Other,In Progress,1.3,R. Chen,"User unavailable, follow-up scheduled."
TKT-S24-0106,03/11/2024,08:09,S0***316,Carnahan Hall 214,IP conflict detected,Network,In Progress,3.6,A. Johnson,"User unavailable, follow-up scheduled."
TKT-S24-0107,01/22/2024,11:03,S0***645,Kent Library 102,IP conflict detected,Network,Closed,1.3,T. Amisha,"Reimaged workstation, software reinstalled."
TKT-S24-0108,01/15/2024,10:02,S0***743,Academic Hall 110,IP conflict detected,Network,Closed,4.5,S. Davis,"Reset credentials, user verified access."
TKT-S24-0109,04/01/2024,13:14,S0***720,Kent Library 102,Application crashing,Software,Closed,4.6,T. Amisha,"Reimaged workstation, software reinstalled."
TKT-S24-0110,01/15/2024,13:28,S0***356,Kent Library 102,No internet connection,Network,Closed,5.3,S. Davis,"Reimaged workstation, software reinstalled."
TKT-S24-0111,03/18/2024,09:45,S0***092,Kent Library 101,Printer not connecting,Hardware,Closed,5.0,A. Johnson,"Reinstalled driver, confirmed working."
TKT-S24-0112,02/05/2024,12:24,S0***043,Show Me Center Lab,Furniture issue,Other,Closed,5.0,T. Amisha,"Replaced toner cartridge, tested print job."
TKT-S24-0113,02/08/2024,14:49,S0***983,Academic Hall 110,Browser freezing,Software,Closed,4.8,A. Johnson,"Reimaged workstation, software reinstalled."
TKT-S24-0114,03/05/2024,08:55,S0***358,Show Me Center Lab,OS update loop,Software,Closed,5.7,M. Patel,"Updated network config, connectivity restored."
TKT-S24-0115,02/12/2024,09:14,S0***280,Academic Hall 110,OS update loop,Software,Closed,3.0,R. Chen,"Cleared browser cache, issue resolved."
TKT-S24-0116,02/23/2024,10:42,S0***527,Show Me Center Lab,IP conflict detected,Network,Closed,2.8,T. Amisha,"Reset credentials, user verified access."
TKT-S24-0117,02/01/2024,12:09,S0***541,Carnahan Hall 214,Canvas login loop,Account/Access,In Progress,3.7,T. Amisha,Escalated to senior tech for further diagnosis.
TKT-S24-0118,03/20/2024,11:18,S0***436,Show Me Center Lab,SSO failure,Account/Access,In Progress,1.9,M. Patel,"User unavailable, follow-up scheduled."
TKT-S24-0119,01/24/2024,14:42,S0***988,Kent Library 101,Slow network speed,Network,Closed,2.7,M. Patel,"Reinstalled driver, confirmed working."
TKT-S24-0120,02/01/2024,09:00,S0***641,Show Me Center Lab,General IT inquiry,Other,Closed,3.7,R. Chen,"Password reset via AD, user confirmed login."
TKT-S24-0121,01/15/2024,12:13,S0***508,Show Me Center Lab,Browser freezing,Software,In Progress,3.8,A. Johnson,Awaiting replacement part from IT supply room.
TKT-S24-0122,04/01/2024,14:23,S0***364,Academic Hall 110,Printer not connecting,Hardware,Closed,2.1,M. Patel,"Password reset via AD, user confirmed login."
TKT-S24-0123,01/29/2024,12:05,S0***658,Kent Library 101,WiFi authentication failed,Network,Closed,2.1,S. Davis,"Updated network config, connectivity restored."
TKT-S24-0124,03/25/2024,10:32,S0***496,Carnahan Hall 214,Account locked out,Account/Access,Closed,3.2,M. Patel,"Updated network config, connectivity restored."
TKT-S24-0125,02/08/2024,16:21,S0***659,Show Me Center Lab,MFA not working,Account/Access,Closed,4.2,A. Johnson,"Replaced toner cartridge, tested print job."
TKT-S24-0126,03/11/2024,09:59,S0***590,Kent Library 102,Room booking question,Other,Closed,2.4,T. Amisha,"Updated network config, connectivity restored."
TKT-S24-0127,03/06/2024,10:52,S0***401,Kent Library 102,Canvas login loop,Account/Access,In Progress,1.7,R. Chen,Awaiting replacement part from IT supply room.
TKT-S24-0128,04/08/2024,14:10,S0***869,Academic Hall 110,Room booking question,Other,Closed,1.3,R. Chen,"Replaced toner cartridge, tested print job."
TKT-S24-0129,01/31/2024,15:15,S0***439,Academic Hall 110,Lab equipment request,Other,Closed,2.4,A. Johnson,"Reimaged workstation, software reinstalled."
TKT-S24-0130,01/16/2024,08:46,S0***117,Show Me Center Lab,Password reset,Account/Access,Open,,A. Johnson,"Ticket submitted, pending assignment."
TKT-S24-0131,04/08/2024,11:56,S0***549,Show Me Center Lab,VPN not connecting,Network,In Progress,3.3,A. Johnson,Awaiting replacement part from IT supply room.
TKT-S24-0132,03/14/2024,12:55,S0***859,Kent Library 101,No internet connection,Network,Closed,1.5,S. Davis,"Updated network config, connectivity restored."
TKT-S24-0133,03/11/2024,14:09,S0***828,Show Me Center Lab,Furniture issue,Other,Closed,4.6,M. Patel,"Cleared browser cache, issue resolved."
TKT-S24-0134,02/12/2024,10:00,S0***898,Show Me Center Lab,Email access denied,Account/Access,Closed,2.5,R. Chen,"Reset credentials, user verified access."
TKT-S24-0135,02/19/2024,16:07,S0***181,Show Me Center Lab,OS update loop,Software,Closed,3.9,M. Patel,"Updated network config, connectivity restored."
TKT-S24-0136,04/05/2024,09:12,S0***455,Carnahan Hall 214,Account locked out,Account/Access,Closed,4.2,A. Johnson,"Password reset via AD, user confirmed login."
TKT-S24-0137,04/01/2024,10:32,S0***165,Academic Hall 110,Canvas login loop,Account/Access,Closed,1.5,S. Davis,"Cleared browser cache, issue resolved."
TKT-S24-0138,04/01/2024,11:58,S0***419,Kent Library 102,Driver conflict,Software,Closed,3.8,S. Davis,"Reimaged workstation, software reinstalled."
TKT-S24-0139,01/23/2024,08:47,S0***999,Kent Library 101,SSO failure,Account/Access,Closed,2.4,M. Patel,"Replaced toner cartridge, tested print job."
TKT-S24-0140,02/01/2024,14:07,S0***347,Kent Library 102,MFA not working,Account/Access,Closed,3.9,M. Patel,"Cleared browser cache, issue resolved."
TKT-S24-0141,03/11/2024,10:04,S0***574,Carnahan Hall 214,General IT inquiry,Other,Closed,4.5,M. Patel,"Cleared browser cache, issue resolved."
TKT-S24-0142,03/26/2024,15:28,S0***459,Show Me Center Lab,General IT inquiry,Other,Closed,2.5,A. Johnson,"Reset credentials, user verified access."
TKT-S24-0143,04/04/2024,11:21,S0***878,Carnahan Hall 214,IP conflict detected,Network,Open,,A. Johnson,"Ticket submitted, pending assignment."
TKT-S24-0144,01/24/2024,10:06,S0***957,Kent Library 102,Mouse not working,Hardware,Closed,2.1,M. Patel,"Password reset via AD, user confirmed login."
TKT-S24-0145,03/12/2024,13:12,S0***098,Carnahan Hall 214,Furniture issue,Other,Open,,S. Davis,"Ticket submitted, pending assignment."
TKT-S24-0146,03/08/2024,10:31,S0***372,Kent Library 102,Email access denied,Account/Access,In Progress,1.8,A. Johnson,Escalated to senior tech for further diagnosis.
TKT-S24-0147,02/21/2024,13:22,S0***081,Show Me Center Lab,VPN not connecting,Network,Closed,3.7,T. Amisha,"Reinstalled driver, confirmed working."
TKT-S24-0148,04/09/2024,13:00,S0***336,Show Me Center Lab,Canvas login loop,Account/Access,Closed,3.4,S. Davis,"Reinstalled driver, confirmed working."
TKT-S24-0149,02/19/2024,14:41,S0***272,Kent Library 102,No internet connection,Network,Open,,M. Patel,"Ticket submitted, pending assignment."
TKT-S24-0150,01/17/2024,11:39,S0***056,Show Me Center Lab,WiFi authentication failed,Network,Closed,6.0,M. Patel,"Reimaged workstation, software reinstalled."
TKT-S24-0151,03/29/2024,10:03,S0***830,Kent Library 101,SSO failure,Account/Access,Closed,2.4,A. Johnson,"Updated network config, connectivity restored."
TKT-S24-0152,03/06/2024,13:10,S0***039,Kent Library 101,Lab equipment request,Other,Closed,4.1,T. Amisha,Cable swap resolved signal issue.
TKT-S24-0153,04/01/2024,13:53,S0***795,Kent Library 102,OS update loop,Software,Closed,2.5,R. Chen,"Reinstalled driver, confirmed working."
TKT-S24-0154,04/04/2024,12:30,S0***731,Kent Library 101,Browser freezing,Software,Open,,S. Davis,"Ticket submitted, pending assignment."
TKT-S24-0155,02/20/2024,10:00,S0***014,Kent Library 102,Mouse not working,Hardware,Closed,2.1,M. Patel,"Reset credentials, user verified access."
TKT-S24-0156,02/12/2024,12:49,S0***288,Kent Library 102,Furniture issue,Other,Closed,4.6,A. Johnson,Cable swap resolved signal issue.
TKT-S24-0157,04/12/2024,16:12,S0***151,Kent Library 102,No internet connection,Network,Open,,S. Davis,"Ticket submitted, pending assignment."
TKT-S24-0158,03/25/2024,08:50,S0***619,Carnahan Hall 214,Monitor no signal,Hardware,Closed,3.2,M. Patel,"Replaced toner cartridge, tested print job."
TKT-S24-0159,03/11/2024,13:30,S0***190,Kent Library 101,WiFi authentication failed,Network,Closed,2.0,M. Patel,"Reset credentials, user verified access."
TKT-S24-0160,01/17/2024,12:36,S0***973,Kent Library 101,General IT inquiry,Other,Closed,5.1,M. Patel,"Replaced toner cartridge, tested print job."
TKT-S24-0161,01/16/2024,16:51,S0***746,Show Me Center Lab,Software install failed,Software,Closed,2.6,R. Chen,"Updated network config, connectivity restored."
TKT-S24-0162,03/12/2024,12:30,S0***956,Kent Library 102,VPN not connecting,Network,Closed,3.5,R. Chen,"Password reset via AD, user confirmed login."
TKT-S24-0163,02/26/2024,11:25,S0***711,Kent Library 101,Driver conflict,Software,Closed,4.8,A. Johnson,"Reinstalled driver, confirmed working."
TKT-S24-0164,03/15/2024,14:53,S0***791,Kent Library 102,WiFi authentication failed,Network,In Progress,3.1,R. Chen,"User unavailable, follow-up scheduled."
TKT-S24-0165,04/08/2024,12:03,S0***639,Kent Library 101,Lab equipment request,Other,Closed,5.6,S. Davis,"Password reset via AD, user confirmed login."
TKT-S24-0166,03/15/2024,09:59,S0***367,Kent Library 102,Lab equipment request,Other,Closed,2.5,S. Davis,"Cleared browser cache, issue resolved."
TKT-S24-0167,02/13/2024,08:32,S0***751,Kent Library 102,Lab equipment request,Other,Closed,3.1,T. Amisha,"Replaced toner cartridge, tested print job."
TKT-S24-0168,01/22/2024,08:44,S0***238,Kent Library 101,General IT inquiry,Other,Closed,6.0,M. Patel,"Password reset via AD, user confirmed login."
TKT-S24-0169,02/08/2024,12:53,S0***938,Kent Library 101,Browser freezing,Software,Closed,1.4,S. Davis,"Cleared browser cache, issue resolved."
TKT-S24-0170,03/05/2024,11:23,S0***629,Kent Library 102,Slow network speed,Network,Closed,5.2,A. Johnson,"Cleared browser cache, issue resolved."
TKT-S24-0171,03/18/2024,16:08,S0***755,Show Me Center Lab,VPN not connecting,Network,Closed,2.4,T. Amisha,"Updated network config, connectivity restored."
TKT-S24-0172,04/01/2024,16:41,S0***427,Kent Library 101,Keyboard unresponsive,Hardware,Closed,4.8,R. Chen,"Replaced toner cartridge, tested print job."
TKT-S24-0173,04/11/2024,11:59,S0***423,Carnahan Hall 214,WiFi authentication failed,Network,In Progress,1.9,S. Davis,Awaiting replacement part from IT supply room.
TKT-S24-0174,02/12/2024,13:50,S0***187,Carnahan Hall 214,Password reset,Account/Access,In Progress,3.2,M. Patel,"User unavailable, follow-up scheduled."
TKT-S24-0175,04/12/2024,08:00,S0***831,Academic Hall 110,Furniture issue,Other,Closed,4.7,T. Amisha,"Updated network config, connectivity restored."
TKT-S24-0176,01/24/2024,13:58,S0***134,Show Me Center Lab,Furniture issue,Other,Closed,1.6,R. Chen,"Password reset via AD, user confirmed login."
TKT-S24-0177,03/04/2024,14:26,S0***537,Kent Library 102,Email access denied,Account/Access,Closed,1.7,T. Amisha,"Replaced toner cartridge, tested print job."
TKT-S24-0178,02/05/2024,11:23,S0***154,Kent Library 101,Software install failed,Software,Closed,4.6,M. Patel,"Reset credentials, user verified access."
TKT-S24-0179,03/08/2024,13:53,S0***760,Carnahan Hall 214,General IT inquiry,Other,Closed,2.2,T. Amisha,Cable swap resolved signal issue.
TKT-S24-0180,04/09/2024,15:30,S0***803,Carnahan Hall 214,Slow network speed,Network,Closed,5.4,M. Patel,"Cleared browser cache, issue resolved."
