ticket_id,date,time,requester_id,lab_location,issue_description,category,status,resolution_hrs,assigned_tech,resolution_notes
TKT-F23-0085,11/09/2023,13:19,S0***701,Kent Library 102,Keyboard unresponsive,Hardware,Closed,2.6,T. Amisha,"Replaced toner cartridge, tested print job."
TKT-F23-0086,10/02/2023,16:51,S0***132,Carnahan Hall 214,Printer not connecting,Hardware,In Progress,2.1,T. Amisha,Awaiting replacement part from IT supply room.
TKT-F23-0087,11/03/2023,10:48,S0***442,Carnahan Hall 214,SSO failure,Account/Access,Closed,3.3,S. Davis,"Cleared browser cache, issue resolved."
TKT-F23-0088,10/30/2023,09:21,S0***412,Kent Library 101,Mouse not working,Hardware,Closed,0.8,T. Amisha,"Reset credentials, user verified access."
TKT-F23-0089,10/27/2023,15:50,S0***481,Kent Library 102,License activation error,Software,Closed,5.9,A. Johnson,"Replaced toner cartridge, tested print job."
TKT-F23-0090,10/03/2023,14:55,S0***764,Kent Library 101,Slow network speed,Network,Closed,5.2,M. Patel,"Cleared browser cache, issue resolved."
TKT-F23-0091,11/15/2023,13:19,S0***038,Show Me Center Lab,Email access denied,Account/Access,Closed,5.5,S. Davis,"Reimaged workstation, software reinstalled."
TKT-F23-0092,09/11/2023,13:17,S0***747,Carnahan Hall 214,Printer not connecting,Hardware,Closed,4.4,M. Patel,"Reinstalled driver, confirmed working."
TKT-F23-0093,11/06/2023,08:41,S0***003,Show Me Center Lab,Browser freezing,Software,Closed,4.7,R. Chen,"Cleared browser cache, issue resolved."
TKT-F23-0094,08/28/2023,11:49,S0***582,Carnahan Hall 214,Furniture issue,Other,Closed,3.2,S. Davis,"Cleared browser cache, issue resolved."
TKT-F23-0095,10/02/2023,08:47,S0***930,Academic Hall 110,PC won't power on,Hardware,In Progress,1.2,S. Davis,Awaiting replacement part from IT supply room.
TKT-F23-0096,10/09/2023,15:43,S0***158,Show Me Center Lab,Room booking question,Other,Closed,5.0,A. Johnson,"Reset credentials, user verified access."
TKT-F23-0097,10/23/2023,08:25,S0***043,Academic Hall 110,Furniture issue,Other,In Progress,2.7,R. Chen,"User unavailable, follow-up scheduled."
TKT-F23-0098,08/28/2023,13:56,S0***030,Show Me Center Lab,Lab equipment request,Other,Closed,3.7,M. Patel,"Cleared browser cache, issue resolved."
TKT-F23-0099,08/29/2023,13:34,S0***541,Kent Library 101,Email access denied,Account/Access,Open,,M. Patel,"Ticket submitted, pending assignment."
TKT-F23-0100,09/27/2023,11:22,S0***388,Carnahan Hall 214,Account locked out,Account/Access,Closed,5.5,A. Johnson,"Reimaged workstation, software reinstalled."
TKT-F23-0101,10/27/2023,13:54,S0***116,Kent Library 101,Driver conflict,Software,Closed,5.7,S. Davis,Cable swap resolved signal issue.
TKT-F23-0102,11/20/2023,09:02,S0***501,Show Me Center Lab,Room booking question,Other,Closed,4.0,R. Chen,"Password reset via AD, user confirmed login."
TKT-F23-0103,09/18/2023,14:48,S0***988,Kent Library 101,Driver conflict,Software,Closed,4.6,M. Patel,"Reset credentials, user verified access."
TKT-F23-0104,08/29/2023,14:32,S0***688,Show Me Center Lab,No internet connection,Network,Closed,3.2,M. Patel,"Cleared browser cache, issue resolved."
TKT-F23-0105,11/17/2023,09:37,S0***379,Kent Library 102,PC won't power on,Hardware,Closed,4.7,M. Patel,"Reinstalled driver, confirmed working."
TKT-F23-0106,10/20/2023,11:58,S0***504,Carnahan Hall 214,Password reset,Account/Access,Closed,5.1,T. Amisha,"Cleared browser cache, issue resolved."
TKT-F23-0107,09/28/2023,16:06,S0***176,Kent Library 102,PC won't power on,Hardware,Closed,5.2,T. Amisha,Cable swap resolved signal issue.
TKT-F23-0108,08/31/2023,16:59,S0***172,Kent Library 102,Lab equipment request,Other,Closed,5.4,T. Amisha,"Reset credentials, user verified access."
TKT-F23-0109,08/24/2023,14:25,S0***937,Kent Library 101,Slow network speed,Network,Closed,4.9,T. Amisha,Cable swap resolved signal issue.
TKT-F23-0110,09/18/2023,15:09,S0***582,Academic Hall 110,VPN not connecting,Network,Closed,3.8,A. Johnson,"Password reset via AD, user confirmed login."
TKT-F23-0111,08/22/2023,15:42,S0***883,Kent Library 102,General IT inquiry,Other,Closed,3.8,M. Patel,"Password reset via AD, user confirmed login."
TKT-F23-0112,08/22/2023,13:45,S0***287,Carnahan Hall 214,DNS resolution error,Network,Closed,1.6,M. Patel,Cable swap resolved signal issue.
TKT-F23-0113,09/18/2023,16:18,S0***903,Academic Hall 110,Email access denied,Account/Access,Closed,2.2,M. Patel,"Cleared browser cache, issue resolved."
TKT-F23-0114,09/12/2023,13:22,S0***510,Academic Hall 110,Password reset,Account/Access,Closed,3.1,R. Chen,"Reimaged workstation, software reinstalled."
TKT-F23-0115,09/06/2023,12:34,S0***553,Carnahan Hall 214,USB device not recognized,Hardware,In Progress,3.5,M. Patel,"User unavailable, follow-up scheduled."
TKT-F23-0116,08/25/2023,16:06,S0***142,Show Me Center Lab,Furniture issue,Other,Closed,3.7,M. Patel,"Updated network config, connectivity restored."
TKT-F23-0117,09/25/2023,14:34,S0***055,Show Me Center Lab,Lab equipment request,Other,Closed,1.0,S. Davis,"Password reset via AD, user confirmed login."
TKT-F23-0118,09/04/2023,16:26,S0***736,Carnahan Hall 214,Account locked out,Account/Access,In Progress,3.7,T. Amisha,"User unavailable, follow-up scheduled."
TKT-F23-0119,08/29/2023,11:09,S0***297,Kent Library 102,Password reset,Account/Access,Closed,5.9,R. Chen,Cable swap resolved signal issue.
TKT-F23-0120,08/23/2023,15:52,S0***515,Kent Library 101,Furniture issue,Other,Closed,0.7,T. Amisha,"Updated network config, connectivity restored."
TKT-F23-0121,10/02/2023,12:56,S0***835,Academic Hall 110,USB device not recognized,Hardware,In Progress,4.6,R. Chen,Escalated to senior tech for further diagnosis.
TKT-F23-0122,08/22/2023,16:02,S0***368,Academic Hall 110,Lab equipment request,Other,Closed,1.1,R. Chen,"Cleared browser cache, issue resolved."
TKT-F23-0123,10/30/2023,12:51,S0***893,Academic Hall 110,Browser freezing,Software,Closed,5.5,R. Chen,Cable swap resolved signal issue.
TKT-F23-0124,10/23/2023,15:40,S0***852,Show Me Center Lab,Printer not connecting,Hardware,Closed,5.4,S. Davis,Cable swap resolved signal issue.
TKT-F23-0125,09/27/2023,16:19,S0***357,Kent Library 101,Printer not connecting,Hardware,Closed,3.5,A. Johnson,"Reinstalled driver, confirmed working."
TKT-F23-0126,09/04/2023,10:07,S0***186,Show Me Center Lab,Room booking question,Other,Closed,2.0,T. Amisha,"Cleared browser cache, issue resolved."
TKT-F23-0127,10/02/2023,12:11,S0***784,Kent Library 102,Account locked out,Account/Access,Closed,1.9,T. Amisha,Cable swap resolved signal issue.
TKT-F23-0128,11/07/2023,10:37,S0***851,Kent Library 101,Canvas login loop,Account/Access,Open,,S. Davis,"Ticket submitted, pending assignment."
TKT-F23-0129,09/11/2023,14:50,S0***310,Academic Hall 110,Software install failed,Software,Closed,2.4,R. Chen,"Password reset via AD, user confirmed login."
TKT-F23-0130,09/08/2023,11:05,S0***316,Kent Library 101,Printer not connecting,Hardware,Closed,1.9,M. Patel,"Reinstalled driver, confirmed working."
TKT-F23-0131,08/23/2023,16:19,S0***644,Kent Library 101,VPN not connecting,Network,Closed,0.9,R. Chen,"Reset credentials, user verified access."
TKT-F23-0132,09/15/2023,10:39,S0***743,Kent Library 102,Room booking question,Other,Closed,6.0,S. Davis,"Reinstalled driver, confirmed working."
TKT-F23-0133,10/02/2023,16:10,S0***720,Academic Hall 110,Room booking question,Other,Closed,2.5,A. Johnson,"Password reset via AD, user confirmed login."
TKT-F23-0134,11/15/2023,10:44,S0***356,Kent Library 101,Slow network speed,Network,Closed,5.0,M. Patel,"Reset credentials, user verified access."
TKT-F23-0135,11/16/2023,08:21,S0***093,Carnahan Hall 214,DNS resolution error,Network,Closed,1.0,T. Amisha,"Reinstalled driver, confirmed working."
TKT-F23-0136,11/06/2023,14:20,S0***042,Kent Library 102,Slow network speed,Network,Closed,2.9,A. Johnson,"Reset credentials, user verified access."
TKT-F23-0137,09/08/2023,11:05,S0***701,Carnahan Hall 214,Software install failed,Software,Open,,R. Chen,"Ticket submitted, pending assignment."
TKT-F23-0138,09/15/2023,15:59,S0***179,Carnahan Hall 214,Slow network speed,Network,Closed,1.1,A. Johnson,"Replaced toner cartridge, tested print job."
TKT-F23-0139,09/25/2023,16:28,S0***227,Academic Hall 110,Mouse not working,Hardware,Open,,T. Amisha,"Ticket submitted, pending assignment."
TKT-F23-0140,10/09/2023,15:22,S0***232,Show Me Center Lab,General IT inquiry,Other,Closed,2.8,S. Davis,"Password reset via AD, user confirmed login."
TKT-F23-0141,10/10/2023,16:27,S0***561,Academic Hall 110,IP conflict detected,Network,Closed,2.9,M. Patel,"Cleared browser cache, issue resolved."
TKT-F23-0142,10/23/2023,11:19,S0***659,Academic Hall 110,Account locked out,Account/Access,Closed,1.7,S. Davis,"Reimaged workstation, software reinstalled."
TKT-F23-0143,09/25/2023,16:02,S0***637,Kent Library 101,Driver conflict,Software,Closed,1.1,A. Johnson,"Reset credentials, user verified access."
TKT-F23-0144,08/28/2023,15:27,S0***272,Carnahan Hall 214,USB device not recognized,Hardware,Closed,4.7,S. Davis,"Replaced toner cartridge, tested print job."
TKT-F23-0145,11/13/2023,16:36,S0***009,Show Me Center Lab,Lab equipment request,Other,In Progress,4.6,R. Chen,Awaiting replacement part from IT supply room.
TKT-F23-0146,09/19/2023,11:47,S0***020,Kent Library 102,Browser freezing,Software,Open,,R. Chen,"Ticket submitted, pending assignment."
TKT-F23-0147,09/12/2023,16:31,S0***617,Carnahan Hall 214,VPN not connecting,Network,Closed,4.4,A. Johnson,"Reimaged workstation, software reinstalled."
TKT-F23-0148,10/23/2023,11:21,S0***095,Kent Library 101,Browser freezing,Software,Closed,2.5,R. Chen,Cable swap resolved signal issue.
TKT-F23-0149,11/20/2023,08:42,S0***231,Show Me Center Lab,License activation error,Software,Closed,3.8,S. Davis,"Password reset via AD, user confirmed login."
TKT-F23-0150,09/18/2023,13:36,S0***468,Show Me Center Lab,Lab equipment request,Other,Closed,1.5,M. Patel,"Replaced toner cartridge, tested print job."
TKT-F23-0151,11/15/2023,13:23,S0***917,Show Me Center Lab,USB device not recognized,Hardware,In Progress,2.2,S. Davis,Awaiting replacement part from IT supply room.
TKT-F23-0152,10/17/2023,16:26,S0***358,Kent Library 101,Furniture issue,Other,Closed,5.4,A. Johnson,"Reset credentials, user verified access."
TKT-F23-0153,08/24/2023,16:39,S0***234,Show Me Center Lab,IP conflict detected,Network,In Progress,1.7,T. Amisha,Awaiting replacement part from IT supply room.
TKT-F23-0154,09/28/2023,09:35,S0***655,Academic Hall 110,Account locked out,Account/Access,Closed,2.2,M. Patel,"Password reset via AD, user confirmed login."
TKT-F23-0155,10/23/2023,15:11,S0***401,Kent Library 102,Browser freezing,Software,Closed,2.7,A. Johnson,Cable swap resolved signal issue.
TKT-F23-0156,08/25/2023,10:15,S0***916,Kent Library 101,SSO failure,Account/Access,Closed,2.0,M. Patel,"Cleared browser cache, issue resolved."
TKT-F23-0157,10/23/2023,14:32,S0***311,Kent Library 101,License activation error,Software,Closed,5.8,R. Chen,"Password reset via AD, user confirmed login."
TKT-F23-0158,10/25/2023,09:33,S0***192,Show Me Center Lab,Browser freezing,Software,Open,,R. Chen,"Ticket submitted, pending assignment."
TKT-F23-0159,08/29/2023,16:14,S0***114,Kent Library 102,Furniture issue,Other,Closed,5.5,T. Amisha,Cable swap resolved signal issue.
TKT-F23-0160,11/14/2023,11:46,S0***360,Show Me Center Lab,General IT inquiry,Other,Closed,3.7,S. Davis,"Password reset via AD, user confirmed login."
TKT-F23-0161,10/30/2023,11:35,S0***375,Carnahan Hall 214,Monitor no signal,Hardware,Closed,5.4,M. Patel,Cable swap resolved signal issue.
TKT-F23-0162,10/20/2023,10:28,S0***269,Kent Library 102,IP conflict detected,Network,In Progress,4.3,T. Amisha,Awaiting replacement part from IT supply room.
TKT-F23-0163,10/30/2023,16:55,S0***820,Kent Library 102,USB device not recognized,Hardware,Closed,4.5,M. Patel,"Replaced toner cartridge, tested print job."
TKT-F23-0164,11/13/2023,09:37,S0***474,Academic Hall 110,Slow network speed,Network,Closed,5.9,A. Johnson,"Updated network config, connectivity restored."
TKT-F23-0165,08/31/2023,13:33,S0***341,Kent Library 102,Browser freezing,Software,Closed,3.2,T. Amisha,"Reimaged workstation, software reinstalled."
TKT-F23-0166,10/23/2023,09:46,S0***199,Kent Library 102,MFA not working,Account/Access,Closed,4.9,M. Patel,Cable swap resolved signal issue.
TKT-F23-0167,08/23/2023,13:52,S0***227,Carnahan Hall 214,Monitor no signal,Hardware,Open,,S. Davis,"Ticket submitted, pending assignment."
TKT-F23-0168,08/28/2023,08:32,S0***279,Kent Library 102,Mouse not working,Hardware,Closed,5.8,M. Patel,"Reinstalled driver, confirmed working."
TKT-F23-0169,09/04/2023,10:30,S0***433,Kent Library 102,Room booking question,Other,In Progress,1.5,A. Johnson,Awaiting replacement part from IT supply room.
TKT-F23-0170,08/31/2023,13:31,S0***800,Academic Hall 110,General IT inquiry,Other,Closed,2.7,T. Amisha,"Password reset via AD, user confirmed login."
TKT-F23-0171,09/18/2023,08:41,S0***156,Kent Library 101,DNS resolution error,Network,In Progress,2.2,A. Johnson,Awaiting replacement part from IT supply room.
TKT-F23-0172,08/28/2023,08:32,S0***949,Kent Library 101,General IT inquiry,Other,Closed,4.8,S. Davis,"Reimaged workstation, software reinstalled."
TKT-F23-0173,09/20/2023,11:18,S0***288,Show Me Center Lab,Driver conflict,Software,Closed,4.1,A. Johnson,"Reimaged workstation, software reinstalled."
TKT-F23-0174,10/19/2023,13:36,S0***950,Kent Library 102,Password reset,Account/Access,Closed,4.1,M. Patel,"Reset credentials, user verified access."
TKT-F23-0175,11/20/2023,14:53,S0***381,Kent Library 102,Browser freezing,Software,Closed,2.2,A. Johnson,"Reinstalled driver, confirmed working."
TKT-F23-0176,08/30/2023,15:35,S0***692,Kent Library 101,Account locked out,Account/Access,Closed,2.1,S. Davis,"Reset credentials, user verified access."
TKT-F23-0177,10/30/2023,12:53,S0***407,Kent Library 101,General IT inquiry,Other,Open,,M. Patel,"Ticket submitted, pending assignment."
TKT-F23-0178,11/08/2023,12:49,S0***246,Kent Library 102,PC won't power on,Hardware,Closed,1.1,A. Johnson,"Updated network config, connectivity restored."
TKT-F23-0179,09/18/2023,08:33,S0***409,Carnahan Hall 214,Room booking question,Other,Closed,1.7,S. Davis,Cable swap resolved signal issue.
